"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"09.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"08.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"07.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"03.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"02.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"01.09.2021","0,08","0,08","0,08","0,08","","33,33%"
"31.08.2021","0,06","0,06","0,06","0,06","","-25,00%"
"30.08.2021","0,08","0,08","0,08","0,08","","0,00%"
"27.08.2021","0,08","0,08","0,08","0,08","","-11,11%"
"26.08.2021","0,09","0,09","0,09","0,09","","0,00%"
"25.08.2021","0,09","0,09","0,09","0,09","","0,00%"
"24.08.2021","0,09","0,09","0,09","0,09","","0,00%"
"23.08.2021","0,09","0,09","0,09","0,09","","0,00%"
"20.08.2021","0,09","0,09","0,09","0,09","","0,00%"
"19.08.2021","0,09","0,09","0,09","0,09","","0,00%"
"18.08.2021","0,09","0,09","0,09","0,09","","-10,00%"
"17.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"16.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"13.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"12.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"11.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"10.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"09.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"06.08.2021","0,10","0,10","0,10","0,10","","0,00%"
"05.08.2021","0,10","0,10","0,10","0,10","","0,00%"
